,0
0,0.0
1,1.0
2,21.0
3,47.0
4,50.0
5,63.0
6,107.0
7,145.0
8,148.0
9,151.0
10,170.0
11,205.0
12,220.0
13,249.0
14,273.0
15,274.0
16,280.0
17,294.0
18,297.0
19,299.0
20,340.0
21,348.0
22,370.0
23,380.0
24,390.0
25,451.0
26,453.0
27,456.0
28,458.0
29,470.0
30,512.0
31,533.0
32,554.0
33,556.0
34,576.0
35,579.0
36,625.0
37,687.0
38,690.0
39,707.0
40,742.0
41,761.0
42,763.0
43,796.0
44,803.0
45,810.0
46,811.0
47,815.0
48,824.0
49,839.0
50,840.0
51,862.0
52,898.0
53,900.0
54,922.0
55,923.0
56,933.0
57,940.0
58,948.0
59,967.0
60,978.0
61,996.0
62,1008.0
63,1047.0
64,1056.0
65,1097.0
66,1119.0
67,1126.0
68,1156.0
69,1194.0
70,1200.0
71,1202.0
72,1204.0
73,1232.0
74,1240.0
75,1255.0
76,1259.0
77,1300.0
78,1302.0
79,1304.0
80,1339.0
81,1352.0
82,1355.0
83,1372.0
84,1405.0
85,1419.0
86,1430.0
87,1443.0
88,1451.0
89,1452.0
90,1474.0
91,1480.0
92,1481.0
93,1505.0
94,1509.0
95,1512.0
96,1559.0
97,1564.0
98,1582.0
99,1588.0
100,1591.0
101,1592.0
102,1593.0
103,1602.0
104,1624.0
105,1629.0
106,1652.0
107,1668.0
108,1676.0
109,1698.0
110,1707.0
111,1708.0
112,1713.0
113,1718.0
114,1732.0
115,1737.0
116,1744.0
117,1758.0
118,1790.0
119,1810.0
120,1844.0
121,1871.0
122,1874.0
123,1875.0
124,1894.0
125,1903.0
126,1904.0
127,1940.0
128,1963.0
129,1964.0
130,1983.0
131,2000.0
132,2030.0
133,2035.0
134,2075.0
135,2083.0
136,2087.0
137,2090.0
138,2100.0
139,2125.0
140,2127.0
141,2145.0
142,2147.0
143,2150.0
144,2160.0
145,2171.0
146,2198.0
147,2199.0
148,2205.0
149,2227.0
150,2238.0
151,2254.0
152,2256.0
153,2267.0
154,2269.0
155,2271.0
156,2282.0
157,2283.0
158,2300.0
159,2308.0
160,2332.0
161,2346.0
162,2354.0
163,2365.0
164,2372.0
165,2375.0
166,2378.0
167,2403.0
168,2414.0
169,2420.0
170,2437.0
171,2442.0
172,2451.0
173,2457.0
174,2476.0
175,2477.0
176,2505.0
177,2515.0
178,2548.0
179,2553.0
180,2559.0
181,2577.0
182,2580.0
183,2583.0
184,2600.0
185,2621.0
186,2643.0
187,2649.0
188,2686.0
189,2690.0
190,2711.0
191,2718.0
192,2770.0
193,2791.0
194,2797.0
195,2813.0
196,2823.0
197,2836.0
198,2848.0
199,2851.0
200,2859.0
201,2860.0
202,2898.0
203,2905.0
204,2916.0
205,2922.0
206,2942.0
207,2948.0
208,2958.0
209,2978.0
210,2981.0
211,2996.0
212,3000.0
213,3006.0
214,3030.0
215,3032.0
216,3044.0
217,3050.0
218,3055.0
219,3071.0
220,3072.0
221,3080.0
222,3086.0
223,3090.0
224,3100.0
225,3133.0
226,3155.0
227,3160.0
228,3163.0
229,3176.0
230,3184.0
231,3221.0
232,3229.0
233,3236.0
234,3237.0
235,3251.0
236,3258.0
237,3270.0
238,3278.0
239,3286.0
240,3295.0
241,3301.0
242,3303.0
243,3339.0
244,3340.0
245,3342.0
246,3350.0
247,3352.0
248,3375.0
249,3380.0
250,3400.0
251,3407.0
252,3408.0
253,3420.0
254,3430.0
255,3447.0
256,3453.0
257,3489.0
258,3495.0
259,3502.0
260,3510.0
261,3517.0
262,3522.0
263,3526.0
264,3549.0
265,3550.0
266,3568.0
267,3595.0
268,3598.0
269,3690.0
270,3707.0
271,3708.0
272,3709.0
273,3716.0
274,3728.0
275,3738.0
276,3742.0
277,3761.0
278,3780.0
279,3786.0
280,3807.0
281,3816.0
282,3829.0
283,3842.0
284,3844.0
285,3875.0
286,3894.0
287,3900.0
288,3923.0
289,3954.0
290,3957.0
291,3982.0
292,3983.0
293,4011.0
294,4013.0
295,4016.0
296,4024.0
297,4075.0
298,4079.0
299,4090.0
300,4094.0
301,4110.0
302,4113.0
303,4128.0
304,4140.0
305,4149.0
306,4156.0
307,4174.0
308,4189.0
309,4195.0
310,4211.0
311,4214.0
312,4216.0
313,4238.0
314,4240.0
315,4246.0
316,4252.0
317,4255.0
318,4279.0
319,4293.0
320,4296.0
321,4312.0
322,4324.0
323,4332.0
324,4344.0
325,4351.0
326,4353.0
327,4355.0
328,4374.0
329,4381.0
330,4400.0
331,4403.0
332,4405.0
333,4412.0
334,4416.0
335,4439.0
336,4444.0
337,4446.0
338,4450.0
339,4499.0
340,4505.0
341,4510.0
342,4518.0
343,4526.0
344,4544.0
345,4573.0
346,4577.0
347,4605.0
348,4612.0
349,4631.0
350,4632.0
351,4667.0
352,4696.0
353,4701.0
354,4728.0
355,4750.0
356,4798.0
357,4800.0
358,4809.0
359,4812.0
360,4850.0
361,4874.0
362,4875.0
363,4914.0
364,4923.0
365,4938.0
366,4947.0
367,4962.0
368,4990.0
369,4993.0
370,5000.0
371,5024.0
372,5031.0
373,5046.0
374,5053.0
375,5064.0
376,5070.0
377,5083.0
378,5102.0
379,5132.0
380,5150.0
381,5159.0
382,5160.0
383,5175.0
384,5183.0
385,5188.0
386,5204.0
387,5211.0
388,5212.0
389,5249.0
390,5253.0
391,5254.0
392,5258.0
393,5291.0
394,5294.0
395,5296.0
396,5300.0
397,5303.0
398,5304.0
399,5310.0
400,5325.0
401,5361.0
402,5385.0
403,5400.0
404,5402.0
405,5408.0
406,5424.0
407,5429.0
408,5447.0
409,5449.0
410,5462.0
411,5475.0
412,5490.0
413,5500.0
414,5516.0
415,5517.0
416,5534.0
417,5538.0
418,5550.0
419,5661.0
420,5665.0
421,5686.0
422,5690.0
423,5700.0
424,5715.0
425,5722.0
426,5724.0
427,5725.0
428,5740.0
429,5747.0
430,5750.0
431,5756.0
432,5763.0
433,5832.0
434,5847.0
435,5864.0
436,5869.0
437,5888.0
438,5900.0
439,5902.0
440,5943.0
441,5946.0
442,5957.0
443,5968.0
444,5977.0
445,5995.0
446,5996.0
447,6015.0
448,6027.0
449,6036.0
450,6041.0
451,6051.0
452,6067.0
453,6075.0
454,6090.0
455,6094.0
456,6115.0
457,6118.0
458,6120.0
459,6132.0
460,6133.0
461,6142.0
462,6193.0
463,6196.0
464,6221.0
465,6222.0
466,6232.0
467,6250.0
468,6273.0
469,6284.0
470,6285.0
471,6300.0
472,6302.0
473,6330.0
474,6349.0
475,6362.0
476,6412.0
477,6438.0
478,6451.0
479,6476.0
480,6477.0
481,6500.0
482,6511.0
483,6514.0
484,6536.0
485,6550.0
486,6559.0
487,6581.0
488,6591.0
489,6634.0
490,6650.0
491,6652.0
492,6694.0
493,6729.0
494,6747.0
495,6748.0
496,6756.0
497,6796.0
498,6798.0
499,6812.0
500,6833.0
501,6863.0
502,6886.0
503,6900.0
504,6907.0
505,6991.0
506,7000.0
507,7005.0
508,7035.0
509,7056.0
510,7065.0
511,7084.0
512,7085.0
513,7137.0
514,7140.0
515,7150.0
516,7167.0
517,7226.0
518,7257.0
519,7287.0
520,7321.0
521,7331.0
522,7370.0
523,7407.0
524,7415.0
525,7440.0
526,7455.0
527,7479.0
528,7500.0
529,7509.0
530,7525.0
531,7576.0
532,7594.0
533,7616.0
534,7695.0
535,7706.0
536,7707.0
537,7709.0
538,7765.0
539,7780.0
540,7793.0
541,7801.0
542,7814.0
543,7836.0
544,7850.0
545,7868.0
546,7878.0
547,7902.0
548,7940.0
549,7950.0
550,7977.0
551,7984.0
552,8002.0
553,8015.0
554,8023.0
555,8052.0
556,8088.0
