,title,runtime,release_date,rating,prod_co,metaScore,metaUserScore,imdb_rating,genre,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,directors,writers,budget,opening_wknd,gross_dom,gross_int,title_code
0,Home Movies,0,1980-05-16,PG,"['Warner Bros.', 'Warner Bros.']",0,0,0,['Comedy'],/name/nm0001618/,/name/nm0000134/,/name/nm5939164/,/name/nm0175814/,/name/nm0191442/,/name/nm0924154/,/name/nm0131966/,/name/nm0281909/,/name/nm5279916/,/name/nm0656929/,"['David Nutter', 'Alan Taylor', 'Alex Graves', 'Miguel Sapochnik', 'Mark Mylod', 'Jeremy Podeswa', 'Daniel Minahan', 'Alik Sakharov', 'Michelle MacLaren', 'Brian Kirk', 'David Benioff', 'D.B. Weiss', 'Timothy Van Patten', 'Neil Marshall', 'David Petrarca', 'Michael Slovis', 'Jack Bender', 'Daniel Sackheim', 'Matt Shakman']","['David Benioff', 'George R.R. Martin', 'D.B. Weiss', 'Dave Hill', 'Bryan Cogman', 'Ethan J. Antonucci', 'Gursimran Sandhu', 'Vanessa Taylor', 'Jane Espenson']",55000000,96202337,335451311.0,1074251311.0,
0,Jurassic World,0,2015-06-12,PG-13,"['Universal Pictures', 'Universal Pictures']",0,0,0,"['Action', 'Adventure', 'Sci-Fi']",/name/nm0695435/,/name/nm0397171/,/name/nm1339223/,/name/nm0339460/,/name/nm0451234/,/name/nm0000352/,/name/nm3538718/,/name/nm2159926/,/name/nm1082477/,/name/nm0000703/,['Colin Trevorrow'],"['Rick Jaffa', 'Amanda Silver', 'Colin Trevorrow', 'Derek Connolly', 'Rick Jaffa', 'Amanda Silver', 'Michael Crichton']",150000000,208806270,652270625.0,1670400637.0,tt0369610
0,The Stanford Prison Experiment,0,2015-07-17,R,"[""Coup d'Etat Films"", 'United Talent Agency (UTA)', 'IFC Films']",0,0,0,"['Biography', 'Drama', 'History', 'Thriller']",/name/nm3009232/,/name/nm4446467/,/name/nm0001082/,/name/nm1880888/,/name/nm0029400/,/name/nm2030779/,/name/nm1002609/,/name/nm2173080/,/name/nm1507857/,/name/nm3859624/,['Kyle Patrick Alvarez'],"['Tim Talbott', 'Philip Zimbardo']",37514,660561,663114.0,,tt0420293
0,High-Rise,0,2016-04-28,R,"['HanWay Films', 'HanWay Films', 'Magnolia Pictures']",0,0,0,"['Drama', 'Sci-Fi']",/name/nm1089991/,/name/nm0000460/,/name/nm1092227/,/name/nm1812656/,/name/nm0005253/,/name/nm0700856/,/name/nm0369954/,/name/nm0272252/,/name/nm0347149/,/name/nm0790501/,['Ben Wheatley'],"['Amy Jump', 'J.G. Ballard']",79887,346472,4289074.0,,tt0462335
0,The Man Who Knew Infinity,0,2016-04-29,PG-13,"['Edward R. Pressman Film', 'IFC Films']",0,0,0,"['Biography', 'Drama']",/name/nm2353862/,/name/nm0000460/,/name/nm0801674/,/name/nm3832790/,/name/nm0154122/,/name/nm0000410/,/name/nm1617865/,/name/nm2457309/,/name/nm2073546/,/name/nm0429363/,['Matt Brown'],"['Matt Brown', 'Matt Brown', 'Robert Kanigel']",10000000,80325,3866794.0,12252684.0,tt0787524
0,Miles Ahead,0,2016-04-22,R,"['Sony Pictures Classics', 'IM Global', 'Sony Pictures Classics']",0,0,0,"['Biography', 'Drama', 'Music', 'Romance']",/name/nm0000332/,/name/nm1538675/,/name/nm0000191/,/name/nm0836121/,/name/nm3147751/,/name/nm5829670/,/name/nm2458187/,/name/nm7378526/,/name/nm8297188/,/name/nm8297189/,['Don Cheadle'],"['Steven Baigelman', 'Don Cheadle', 'Steven Baigelman', 'Don Cheadle', 'Stephen J. Rivele', 'Christopher Wilkinson']",114530,2610896,3473958.0,,tt0790770
0,The Danish Girl,0,2016-01-22,R,"['Working Title Films', 'Kathy Morgan International', 'Focus Features']",0,0,0,"['Biography', 'Drama', 'Romance']",/name/nm1519666/,/name/nm2539953/,/name/nm1720028/,/name/nm0924210/,/name/nm0797860/,/name/nm0771621/,/name/nm2193504/,/name/nm2447755/,/name/nm0119100/,/name/nm1177117/,['Tom Hooper'],"['Lucinda Coxon', 'David Ebershoff']",15000000,187318,11114018.0,64191523.0,tt0810819
0,The Wedding Ringer,0,2015-01-16,R,"['LStar Capital', 'Screen Gems']",0,0,0,['Comedy'],/name/nm0366389/,/name/nm1265802/,/name/nm0192505/,/name/nm1649714/,/name/nm0306201/,/name/nm2872012/,/name/nm1189640/,/name/nm0397432/,/name/nm5102355/,/name/nm0001458/,['Jeremy Garelick'],"['Jeremy Garelick', 'Jay Lavender']",23000000,20649306,64460211.0,79799880.0,tt0884732
0,Child 44,0,2015-04-17,R,"['Summit Entertainment', 'Creative Artists Agency (CAA)', 'Lionsgate']",0,0,0,"['Crime', 'Drama', 'History', 'Thriller']",/name/nm0362766/,/name/nm0000198/,/name/nm0636426/,/name/nm1172478/,/name/nm4865547/,/name/nm0428765/,/name/nm0267241/,/name/nm0229859/,/name/nm1377449/,/name/nm0889022/,['Daniel Espinosa'],"['Richard Price', 'Tom Rob Smith', 'Johan Melin']",50000000,621812,1224330.0,12951093.0,tt1014763
0,Poltergeist,0,2015-05-22,PG-13,"['Fox 2000 Pictures', 'Twentieth Century Fox']",0,0,0,"['Horror', 'Thriller']",/name/nm0005377/,/name/nm1679669/,/name/nm4149623/,/name/nm3061574/,/name/nm3714535/,/name/nm0364813/,/name/nm0011038/,/name/nm2526851/,/name/nm1002609/,/name/nm1350696/,['Gil Kenan'],"['David Lindsay-Abaire', 'Steven Spielberg', 'Michael Grais', 'Mark Victor', 'Steven Spielberg']",35000000,22620386,47425125.0,95437994.0,tt1029360
0,Goosebumps,0,2015-10-16,PG,"['Columbia Pictures', 'Columbia Pictures']",0,0,0,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Horror']",/name/nm0085312/,/name/nm1910255/,/name/nm3843467/,/name/nm2619114/,/name/nm0752407/,/name/nm3255459/,/name/nm4296013/,/name/nm3374941/,/name/nm1080768/,/name/nm2140322/,['Rob Letterman'],"['Darren Lemke', 'Scott Alexander', 'Larry Karaszewski', 'R.L. Stine']",58000000,23618556,80080379.0,158260952.0,tt1051904
0,Eddie the Eagle,0,2016-02-26,PG-13,"['Hurwitz Creative', 'Twentieth Century Fox']",0,0,0,"['Biography', 'Comedy', 'Drama', 'Family', 'Sport']",/name/nm5473782/,/name/nm0413168/,/name/nm8030441/,/name/nm0366846/,/name/nm0020717/,/name/nm0866221/,/name/nm7952949/,/name/nm0072949/,/name/nm0570570/,/name/nm5481344/,['Dexter Fletcher'],"['Sean Macaulay', 'Simon Kelton', 'Simon Kelton']",23000000,6084682,15789389.0,46152800.0,tt1083452
0,Growing Up Smith,0,2017-02-03,PG-13,"['Brittany House Pictures', 'Instrum International', 'Good Deed Entertainment']",0,0,0,"['Comedy', 'Drama', 'Family']",/name/nm0005134/,/name/nm0631413/,/name/nm3276835/,/name/nm1122026/,/name/nm4803098/,/name/nm1567198/,/name/nm1589782/,/name/nm5435474/,/name/nm0000998/,/name/nm0347375/,['Frank Lotito'],"['Anjul Nigam', 'Paul Quinn', 'Gregory Scott Houghton', 'Anjul Nigam']",2000000,14867,35312.0,35312.0,tt1105355
0,A Tale of Love and Darkness,0,2016-08-19,PG-13,"['Avi Chai fund', 'Focus World']",0,0,0,"['Biography', 'Drama', 'History', 'Mystery', 'Romance', 'War']",/name/nm0000204/,/name/nm5493310/,/name/nm7999180/,/name/nm0608701/,/name/nm0461324/,/name/nm0403374/,/name/nm3391702/,/name/nm0670785/,/name/nm4440460/,/name/nm6150071/,['Natalie Portman'],"['Natalie Portman', 'Amos Oz']",4000000,37170,572212.0,724885.0,tt1135989
0,Accidental Love,0,2015-02-10,PG-13,"['K. JAM Media', 'Alchemy']",0,0,0,"['Comedy', 'Romance']",/name/nm0004754/,/name/nm7102025/,/name/nm2661138/,/name/nm0000350/,/name/nm0092906/,/name/nm0005188/,/name/nm0352778/,/name/nm7102026/,/name/nm3051388/,/name/nm0000263/,['David O. Russell'],"['Kristin Gore', 'Matthew Silverstein', 'Dave Jeser', 'Kristin Gore', 'Matthew Silverstein', 'Dave Jeser', 'Kristin Gore']",26000000,24487,,,tt1137470
0,Demolition,0,2016-04-08,R,"['Black Label Media', 'Creative Artists Agency (CAA)', 'Fox Searchlight Pictures']",0,0,0,"['Comedy', 'Drama']",/name/nm0350453/,/name/nm0915208/,/name/nm0177933/,/name/nm6237346/,/name/nm1225590/,/name/nm0237164/,/name/nm0165859/,/name/nm0598213/,/name/nm0511200/,/name/nm0828840/,['Jean-Marc Vallée'],['Bryan Sipe'],10000000,1100042,1978592.0,4366460.0,tt1172049
0,A Walk in the Woods,0,2015-09-02,R,"['Route One Entertainment', 'IM Global', 'Broad Green Pictures']",0,0,0,"['Adventure', 'Biography', 'Comedy', 'Drama']",/name/nm0000602/,/name/nm0000560/,/name/nm0000668/,/name/nm0005460/,/name/nm0644406/,/name/nm1102891/,/name/nm0364931/,/name/nm0628421/,/name/nm2903507/,/name/nm2400464/,['Ken Kwapis'],"['Michael Arndt', 'Bill Holderman', 'Bill Bryson']",8000000,8246267,29504281.0,37461274.0,tt1178665
0,The Great Gilly Hopkins,0,2016-10-07,PG,"['Lionsgate Premiere', 'WestEnd Films', 'Lionsgate Home Entertainment']",0,0,0,"['Comedy', 'Drama', 'Family']",/name/nm4563869/,/name/nm0000870/,/name/nm0000335/,/name/nm0818055/,/name/nm0005466/,/name/nm0167850/,/name/nm2915105/,/name/nm4771720/,/name/nm2740002/,/name/nm6098941/,['Stephen Herek'],"['David Paterson', 'Katherine Paterson']",5000000,97798,,,tt1226766
