,title,runtime,release_date,rating,prod_co,metaScore,metaUserScore,imdb_rating,genre,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,directors,writers,budget,opening_wknd,gross_dom,gross_int,title_code
0,Home Movies,0,1980-05-16,PG,"['Warner Bros.', 'Warner Bros.']",0,0,0,['Comedy'],/name/nm0001618/,/name/nm0000134/,/name/nm5939164/,/name/nm0175814/,/name/nm0191442/,/name/nm0924154/,/name/nm0131966/,/name/nm0281909/,/name/nm5279916/,/name/nm0656929/,"['David Nutter', 'Alan Taylor', 'Alex Graves', 'Miguel Sapochnik', 'Mark Mylod', 'Jeremy Podeswa', 'Daniel Minahan', 'Alik Sakharov', 'Michelle MacLaren', 'Brian Kirk', 'David Benioff', 'D.B. Weiss', 'Timothy Van Patten', 'Neil Marshall', 'David Petrarca', 'Michael Slovis', 'Jack Bender', 'Daniel Sackheim', 'Matt Shakman']","['David Benioff', 'George R.R. Martin', 'D.B. Weiss', 'Dave Hill', 'Bryan Cogman', 'Ethan J. Antonucci', 'Gursimran Sandhu', 'Vanessa Taylor', 'Jane Espenson']",55000000,96202337,335451311.0,1074251311.0,
0,Super Troopers 2,0,2018-04-20,R,"['Votiv Films', 'Double Dutch International', 'Fox Searchlight Pictures']",0,0,0,"['Comedy', 'Crime', 'Mystery']",/name/nm0151540/,/name/nm0373571/,/name/nm0501399/,/name/nm0815418/,/name/nm0005405/,/name/nm0004286/,/name/nm0831479/,/name/nm0915458/,/name/nm0004051/,/name/nm0004846/,['Jay Chandrasekhar'],"['Jay Chandrasekhar', 'Kevin Heffernan', 'Steve Lemme', 'Paul Soter', 'Erik Stolhanske']",13500000,15181624,30617396.0,31626386.0,tt0859635
0,16 Bars,0,2018-11-15,Not Rated,"['Resonant Pictures', 'Lightyear Entertainment']",0,0,0,['Documentary'],/name/nm4920471/,/name/nm10548121/,/name/nm10548122/,/name/nm10548124/,/name/nm10548123/,,,,,,['Sam Bathrick'],[],260000,2662,10985.0,10985.0,tt10021622
0,Russ Taff: I Still Believe,0,2018-10-30,,['Fuseic Entertainment'],0,0,0,['Documentary'],/name/nm0152526/,/name/nm0004973/,/name/nm2330582/,/name/nm7237147/,/name/nm10691758/,/name/nm3202802/,/name/nm4075295/,/name/nm10691760/,/name/nm0809363/,/name/nm10691757/,['Rick Altizer'],['Rick Altizer'],334983,334983,,,tt10160700
0,Cirque du Soleil in Cinema: KURIOS - Cabinet of Curiosities,0,2018-11-13,,[],0,0,0,"['Fantasy', 'Sport']",,,,,,,,,,,"['Michel Laprise', 'Jean-Marc Létourneau']",[],413039,422760,,,tt10160782
0,"DCI 2019: Big, Loud & Live 16",0,2018-08-09,,['Fathom Events'],0,0,0,['Documentary'],,,,,,,,,,,[],[],603320,603320,,,tt10192676
0,Suspiria,0,2018-11-02,R,"['Frenesy Film Company', 'FilmNation Entertainment', 'Amazon Studios']",0,0,0,"['Fantasy', 'Horror', 'Mystery', 'Thriller']",/name/nm1631269/,/name/nm0842770/,/name/nm0382566/,/name/nm1728249/,/name/nm0424848/,/name/nm0935190/,/name/nm8747928/,/name/nm1082687/,/name/nm8519533/,/name/nm1931609/,['Luca Guadagnino'],"['Dario Argento', 'Daria Nicolodi', 'David Kajganich']",20000000,184037,2483472.0,7942093.0,tt1034415
0,Winchester,0,2018-02-02,PG-13,"['CBS Films', 'Eclipse Pictures', 'Lionsgate']",0,0,0,"['Biography', 'Drama', 'Fantasy', 'Horror', 'Mystery', 'Thriller']",/name/nm0000545/,/name/nm3512758/,/name/nm7073477/,/name/nm0164809/,/name/nm7461934/,/name/nm9610643/,/name/nm8720899/,/name/nm0178833/,/name/nm0138327/,/name/nm0760151/,"['Michael Spierig', 'Peter Spierig']","['Tom Vaughan', 'Michael Spierig', 'Peter Spierig']",3500000,9307626,25091816.0,44019588.0,tt1072748
0,Death Wish,0,2018-03-02,R,"['Cave 76', 'Metro-Goldwyn-Mayer (MGM)']",0,0,0,"['Action', 'Crime', 'Drama', 'Thriller']",/name/nm0000246/,/name/nm0000352/,/name/nm0000223/,/name/nm6714979/,/name/nm0606487/,/name/nm3354041/,/name/nm0253708/,/name/nm0137230/,/name/nm4477836/,/name/nm1237235/,['Eli Roth'],"['Joe Carnahan', 'Brian Garfield', 'Wendell Mayes']",30000000,13010267,34017028.0,49562710.0,tt1137450
0,The Grateful Dead Meet-Up 2018,0,2018-08-01,,['Fathom Events'],0,0,0,"['Documentary', 'Music']",,,,,,,,,,,[],[],600554,600554,,,tt11376890
0,Beautiful Boy,0,2018-09-30,R,"['Amazon Studios', 'Amazon Studios']",0,0,0,"['Biography', 'Drama']",/name/nm0136797/,/name/nm0005491/,/name/nm6244013/,/name/nm7294937/,/name/nm8087548/,/name/nm3154303/,/name/nm0032628/,/name/nm0928087/,/name/nm2640887/,/name/nm0268281/,['Felix van Groeningen'],"['Luke Davies', 'Felix van Groeningen', 'David Sheff', 'Nic Sheff']",25000000,218888,7649973.0,16636604.0,tt1226837
0,Where Hands Touch,0,2018-09-14,PG-13,"['British Film Company', 'Vertical Entertainment']",0,0,0,"['Drama', 'Romance', 'War']",/name/nm0180411/,/name/nm1126657/,/name/nm3964350/,/name/nm0001172/,/name/nm0627995/,/name/nm0329259/,/name/nm2139979/,/name/nm0751301/,/name/nm4693198/,/name/nm3643989/,['Amma Asante'],['Amma Asante'],67743,67743,128269.0,,tt1235187
0,Holmes & Watson,0,2018-12-25,PG-13,"['Columbia Pictures', 'Columbia Pictures']",0,0,0,"['Comedy', 'Crime', 'Mystery']",/name/nm0002071/,/name/nm0000604/,/name/nm0000146/,/name/nm0356017/,/name/nm0117339/,/name/nm0531808/,/name/nm1944055/,/name/nm0274913/,/name/nm9024407/,/name/nm9900095/,['Etan Cohen'],"['Etan Cohen', 'Arthur Conan Doyle']",42000000,7411522,30573626.0,40466970.0,tt1255919
0,Den of Thieves,0,2018-01-19,R,"['Atmosphere Entertainment MM', 'Relativity Media', 'STX Entertainment']",0,0,0,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",/name/nm0124930/,/name/nm1032567/,/name/nm6578009/,/name/nm1265067/,/name/nm0816508/,/name/nm0173997/,/name/nm0887144/,/name/nm0428055/,/name/nm0594895/,/name/nm1839980/,['Christian Gudegast'],"['Christian Gudegast', 'Christian Gudegast', 'Paul Scheuring']",30000000,15206108,44947622.0,80509622.0,tt1259528
0,Venom,0,2018-10-05,PG-13,"['Avi Arad Productions', 'Columbia Pictures']",0,0,0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",/name/nm0362766/,/name/nm0931329/,/name/nm1981893/,/name/nm2020278/,/name/nm1169428/,/name/nm2809577/,/name/nm0001828/,/name/nm0000437/,/name/nm0523742/,/name/nm4007942/,['Ruben Fleischer'],"['Jeff Pinkner', 'Scott Rosenberg', 'Kelly Marcel', 'Jeff Pinkner', 'Scott Rosenberg', 'Todd McFarlane', 'David Michelinie']",100000000,80255756,213515506.0,856085151.0,tt1270797
0,London Fields,0,2018-10-26,R,"['Muse Productions', 'GVN Releasing']",0,0,0,"['Crime', 'Mystery', 'Thriller']",/name/nm1720028/,/name/nm5353321/,/name/nm3772243/,/name/nm1526352/,/name/nm0005042/,/name/nm2110418/,/name/nm0000671/,/name/nm0836343/,/name/nm2178959/,/name/nm2694680/,['Mathew Cullen'],"['Roberta Hanley', 'Martin Amis', 'Martin Amis']",8000000,168575,252676.0,487420.0,tt1273221
0,The Strangers: Prey at Night,0,2018-03-09,R,"['Aviron Pictures', 'Bloom', 'Aviron Pictures']",0,0,0,['Horror'],/name/nm0376716/,/name/nm0376540/,/name/nm1933128/,/name/nm5730649/,/name/nm0535541/,/name/nm6066089/,/name/nm4572865/,/name/nm9688247/,/name/nm0835349/,/name/nm7336536/,['Johannes Roberts'],"['Bryan Bertino', 'Ben Ketai']",5000000,10402271,24586708.0,31039126.0,tt1285009
0,The Happytime Murders,0,2018-08-24,R,"['STX Entertainment', 'Metro-Goldwyn-Mayer (MGM)', 'STX Entertainment']",0,0,0,"['Action', 'Comedy', 'Crime', 'Mystery', 'Thriller']",/name/nm0565250/,/name/nm0006969/,/name/nm0748973/,/name/nm1534715/,/name/nm0570364/,/name/nm5318271/,/name/nm0567912/,/name/nm0798170/,/name/nm0534822/,/name/nm10050665/,['Brian Henson'],"['Todd Berger', 'Todd Berger', 'Dee Austin Robertson']",40000000,9532425,20706452.0,27506452.0,tt1308728
0,Mapplethorpe,0,2018-04-22,,"['Boston Diva Productions', 'Creative Artists Agency (CAA)', 'Samuel Goldwyn Films']",0,0,0,"['Biography', 'Drama']",/name/nm1741002/,/name/nm8205766/,/name/nm0382632/,/name/nm3996999/,/name/nm0071416/,/name/nm0608601/,/name/nm0566509/,/name/nm4420814/,/name/nm1551040/,/name/nm6186850/,['Ondi Timoner'],"['Ondi Timoner', 'Mikko Alanne', 'Bruce Goodrich']",17000,91002,91002.0,,tt1389098
0,12 Strong,0,2018-01-19,R,"['Alcon Entertainment', 'Lionsgate', 'Warner Bros.']",0,0,0,"['Action', 'Drama', 'History', 'War']",/name/nm1165110/,/name/nm0788335/,/name/nm0671567/,/name/nm1041023/,/name/nm5218990/,/name/nm0836176/,/name/nm0524745/,/name/nm3332884/,/name/nm3271473/,/name/nm4649116/,['Nicolai Fuglsig'],"['Ted Tally', 'Peter Craig', 'Doug Stanton']",35000000,15815025,45819713.0,67450815.0,tt1413492
0,Aquaman,0,2018-12-21,PG-13,"['DC Comics', 'Warner Bros.']",0,0,0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",/name/nm0597388/,/name/nm1720028/,/name/nm0000353/,/name/nm0933940/,/name/nm0000173/,/name/nm0000185/,/name/nm5584344/,/name/nm0607325/,/name/nm3485108/,/name/nm0004729/,['James Wan'],"['David Leslie Johnson-McGoldrick', 'Will Beall', 'Geoff Johns', 'James Wan', 'Will Beall', 'Paul Norris', 'Mort Weisinger']",160000000,67873522,335061807.0,1148461807.0,tt1477834
0,Halloween,0,2018-10-19,R,"['Blumhouse Productions', 'Miramax', 'Universal Pictures']",0,0,0,"['Horror', 'Thriller']",/name/nm0000130/,/name/nm0339460/,/name/nm5506858/,/name/nm0183921/,/name/nm0145309/,/name/nm0082211/,/name/nm0001599/,/name/nm3593977/,/name/nm2131630/,/name/nm0403947/,['David Gordon Green'],"['John Carpenter', 'Debra Hill', 'Jeff Fradley', 'Danny McBride', 'David Gordon Green']",10000000,76221545,159342015.0,255485178.0,tt1502407
0,A Star Is Born,0,2018-10-05,R,"['Warner Bros. Pictures', 'Warner Bros.']",0,0,0,"['Drama', 'Music', 'Romance']",/name/nm3078932/,/name/nm0177896/,/name/nm0000385/,/name/nm0342399/,/name/nm0001048/,/name/nm1969169/,/name/nm6853061/,/name/nm0152638/,/name/nm0000285/,/name/nm7573227/,['Bradley Cooper'],"['Eric Roth', 'Bradley Cooper', 'Will Fetters', 'Moss Hart', 'John Gregory Dunne', 'Joan Didion', 'Frank Pierson', 'William A. Wellman', 'Robert Carson']",36000000,42908051,215288866.0,436188866.0,tt1517451
