,title,runtime,release_date,rating,prod_co,metaScore,metaUserScore,imdb_rating,genre,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,directors,writers,budget,opening_wknd,gross_dom,gross_int,title_code
0,Home Movies,0,1980-05-16,PG,"['Warner Bros.', 'Warner Bros.']",0,0,0,['Comedy'],/name/nm0001618/,/name/nm0000134/,/name/nm5939164/,/name/nm0175814/,/name/nm0191442/,/name/nm0924154/,/name/nm0131966/,/name/nm0281909/,/name/nm5279916/,/name/nm0656929/,"['David Nutter', 'Alan Taylor', 'Alex Graves', 'Miguel Sapochnik', 'Mark Mylod', 'Jeremy Podeswa', 'Daniel Minahan', 'Alik Sakharov', 'Michelle MacLaren', 'Brian Kirk', 'David Benioff', 'D.B. Weiss', 'Timothy Van Patten', 'Neil Marshall', 'David Petrarca', 'Michael Slovis', 'Jack Bender', 'Daniel Sackheim', 'Matt Shakman']","['David Benioff', 'George R.R. Martin', 'D.B. Weiss', 'Dave Hill', 'Bryan Cogman', 'Ethan J. Antonucci', 'Gursimran Sandhu', 'Vanessa Taylor', 'Jane Espenson']",55000000,96202337,335451311.0,1074251311.0,
0,American Pastoral,0,2016-10-21,R,"['Lionsgate', 'Lionsgate']",0,0,0,"['Crime', 'Drama']",/name/nm0000191/,/name/nm0000124/,/name/nm0266824/,/name/nm0726200/,/name/nm1140344/,/name/nm2499064/,/name/nm0662504/,/name/nm2038170/,/name/nm6288651/,/name/nm0798931/,['Ewan McGregor'],"['Philip Roth', 'John Romano']",149038,544098,2063436.0,,tt0376479
0,"Hail, Caesar!",0,2016-02-05,PG-13,"['Universal Pictures', 'Universal Pictures', 'Universal Pictures']",0,0,0,"['Comedy', 'Drama', 'Music', 'Mystery']",/name/nm0000982/,/name/nm0000123/,/name/nm2403277/,/name/nm0000146/,/name/nm0424060/,/name/nm0842770/,/name/nm1475594/,/name/nm0000531/,/name/nm1706767/,/name/nm4088280/,"['Ethan Coen', 'Joel Coen']","['Joel Coen', 'Ethan Coen']",22000000,11355225,30498085.0,63647656.0,tt0475290
0,Silence,0,2017-01-13,R,"['SharpSword Films', 'IM Global', 'Paramount Pictures']",0,0,0,"['Drama', 'History']",/name/nm1940449/,/name/nm3485845/,/name/nm0000553/,/name/nm0038355/,/name/nm0001354/,/name/nm0644521/,/name/nm0875354/,/name/nm0645224/,/name/nm0473577/,/name/nm3484659/,['Martin Scorsese'],"['Jay Cocks', 'Martin Scorsese', 'Sh没saku End么']",46000000,130880,7100177.0,23834809.0,tt0490215
0,Warcraft,0,2016-06-10,PG-13,"['Legendary Entertainment', 'Universal Pictures']",0,0,0,"['Action', 'Adventure', 'Fantasy']",/name/nm1379938/,/name/nm1745736/,/name/nm0004936/,/name/nm1002641/,/name/nm1527905/,/name/nm3115493/,/name/nm2059117/,/name/nm0000317/,/name/nm0943079/,/name/nm1550948/,['Duncan Jones'],"['Charles Leavitt', 'Duncan Jones']",160000000,24166110,47365290.0,439048914.0,tt0803096
0,The Legend of Tarzan,0,2016-07-01,PG-13,"['Village Roadshow Pictures', 'Warner Bros.']",0,0,0,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']",/name/nm0002907/,/name/nm4920741/,/name/nm7222287/,/name/nm0910607/,/name/nm0000168/,/name/nm3053338/,/name/nm7760612/,/name/nm3247700/,/name/nm2950654/,/name/nm6431237/,['David Yates'],"['Adam Cozad', 'Craig Brewer', 'Craig Brewer', 'Adam Cozad', 'Edgar Rice Burroughs']",180000000,38527856,126643061.0,356700357.0,tt0918940
0,Pele: Birth of a Legend,0,2016-05-13,PG,"['Imagine Entertainment', 'Creative Artists Agency (CAA)', 'IFC Films']",0,0,0,"['Biography', 'Drama', 'Sport']",/name/nm0000352/,/name/nm0763928/,/name/nm1546300/,/name/nm1179580/,/name/nm5991572/,/name/nm5991573/,/name/nm4178453/,/name/nm0328604/,/name/nm0584492/,/name/nm0560412/,"['Jeff Zimbalist', 'Michael Zimbalist']","['Jeff Zimbalist', 'Michael Zimbalist']",7226,57046,7846608.0,,tt0995868
0,The Young Messiah,0,2016-03-11,PG-13,"['1492 Pictures', 'Hyde Park International', 'Focus Features']",0,0,0,"['Drama', 'Fantasy']",/name/nm6026206/,/name/nm0909906/,/name/nm3322537/,/name/nm0000293/,/name/nm3880541/,/name/nm1605114/,/name/nm1552362/,/name/nm4760696/,/name/nm0487743/,/name/nm7701758/,['Cyrus Nowrasteh'],"['Anne Rice', 'Betsy Giffen Nowrasteh', 'Cyrus Nowrasteh']",18500000,3294876,6490401.0,7330338.0,tt1002563
0,Free State of Jones,0,2016-06-24,R,"['Route One Entertainment', 'Creative Artists Agency (CAA)', 'STX Entertainment']",0,0,0,"['Action', 'Biography', 'Drama', 'History', 'War', 'Western']",/name/nm0000190/,/name/nm1813221/,/name/nm0991810/,/name/nm0005392/,/name/nm0077512/,/name/nm0108703/,/name/nm5015107/,/name/nm2958419/,/name/nm1813729/,/name/nm0291368/,['Gary Ross'],"['Gary Ross', 'Leonard Hartman', 'Gary Ross']",50000000,7572206,20810036.0,25035950.0,tt1124037
0,10 Cloverfield Lane,0,2016-03-11,PG-13,"['Paramount Pictures', 'Paramount Pictures']",0,0,0,"['Drama', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']",/name/nm0000422/,/name/nm0935541/,/name/nm0302330/,/name/nm0341174/,/name/nm0190550/,/name/nm0177896/,/name/nm0599019/,/name/nm3816936/,,,['Dan Trachtenberg'],"['Josh Campbell', 'Matthew Stuecken', 'Damien Chazelle', 'Josh Campbell', 'Matthew Stuecken']",15000000,24727437,72082998.0,110216998.0,tt1179933
