,title,runtime,release_date,rating,prod_co,metaScore,metaUserScore,imdb_rating,genre,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,directors,writers,budget,opening_wknd,gross_dom,gross_int,title_code
0,Fantasy Island,0,2020-02-14,PG-13,"['Columbia Pictures', 'Columbia Pictures']",0,0,0,"['Adventure', 'Fantasy', 'Horror', 'Mystery', 'Thriller']",/name/nm0671567/,/name/nm0702572/,/name/nm1423955/,/name/nm3271473/,/name/nm4497202/,/name/nm0234668/,/name/nm1218621/,/name/nm0740264/,/name/nm1406792/,/name/nm1036181/,['Jeff Wadlow'],"['Jillian Jacobs', 'Christopher Roach', 'Jeff Wadlow']",7000000,12310420,26441782.0,47315959.0,tt0983946
0,Corazón ardiente,0,2020-02-21,,"['Goya Producciones', 'European Dreams Factory']",0,0,0,['Drama'],/name/nm0306011/,/name/nm2253300/,/name/nm0523590/,/name/nm0749964/,/name/nm11262089/,/name/nm0899017/,/name/nm2438619/,,,,"['Antonio Cuadri', 'Andrés Garrigó']","['Andrés Garrigó', 'Pedro Delgado']",400000,450861,,,tt10153510
0,Created Equal: Clarence Thomas in His Own Words,0,2020-01-31,PG-13,"['Manifold Productions Inc.', 'Manifold Productions Inc.']",0,0,0,['Documentary'],/name/nm1236813/,/name/nm0081182/,/name/nm0384043/,/name/nm3958238/,,,,,,,['Michael Pack'],['Michael Pack'],74577,282149,282149.0,,tt10256238
0,The Invisible Man,0,2020-02-28,R,"['Universal Pictures', 'Universal Pictures']",0,0,0,"['Horror', 'Mystery', 'Sci-Fi', 'Thriller']",/name/nm0005253/,/name/nm2719825/,/name/nm2976830/,/name/nm0388038/,/name/nm4977564/,/name/nm1168915/,/name/nm3715624/,/name/nm1813111/,/name/nm0576020/,/name/nm11382550/,['Leigh Whannell'],"['Leigh Whannell', 'Leigh Whannell', 'H.G. Wells']",7000000,28205665,64914050.0,122914050.0,tt1051906
0,Sarileru Neekevvaru,0,2020-01-10,Not Rated,"['AK Entertainments', 'Errabus']",0,0,0,"['Action', 'Comedy', 'Drama']",/name/nm1121870/,/name/nm8612305/,/name/nm0897227/,/name/nm0695177/,/name/nm0707399/,/name/nm2496992/,/name/nm2202395/,/name/nm6845066/,/name/nm11385223/,/name/nm11385224/,['Anil Ravipudi'],"['Anil Ravipudi', 'Anil Ravipudi', 'Anil Ravipudi', 'Narra Praveen', 'Adi Naarayana', 'S. Krishna']",821000,821000,1366335.0,,tt10773090
0,The (UN)perfect Guy,0,2020-01-23,Not Rated,"['KIT Film Studio', 'Central Partnership']",0,0,0,"['Comedy', 'Romance', 'Sci-Fi']",/name/nm3113292/,/name/nm8694418/,/name/nm3406682/,/name/nm1450429/,/name/nm7237707/,/name/nm6149995/,/name/nm0806799/,/name/nm9552325/,/name/nm1738499/,/name/nm10287779/,['Marius Balchunas'],"['Evgeniya Khripkova', 'Zhora Kryzhovnikov']",1100000,7013247,,,tt10818092
0,Blind Eyes Opened,0,2020-01-23,Unrated,['Ships of Tarshish'],0,0,0,['Drama'],/name/nm0662096/,,,,,,,,,,['Geoffrey Rogers'],"['Cherie Hollis', 'Natalie Kehn', 'Sarah Manson', 'Geoffrey Rogers', 'Kerri Rogers', 'Kerri Rogers', 'Larry Wiezycki']",234505,234505,,,tt11043394
0,The Man Standing Next,0,2020-01-24,,"['Gemstone Pictures', 'Capelight Pictures']",0,0,0,"['History', 'Thriller']",/name/nm0496932/,/name/nm1520129/,/name/nm3483072/,/name/nm3113075/,/name/nm6020024/,/name/nm0076213/,/name/nm0714561/,/name/nm9106800/,/name/nm8471318/,/name/nm7009684/,['Min-ho Woo'],['Min-ho Woo'],16514,113527,34664900.0,,tt11358398
0,CatVideoFest 2020,0,2020-02-22,,[],0,0,0,['Documentary'],,,,,,,,,,,['Alex P. Kitten'],[],217927,437625,437625.0,,tt11600880
0,Patterns of Evidence: The Red Sea Miracle,0,2020-02-18,,"['Thinking Man Films', 'Thinking Man Films']",0,0,0,['Documentary'],/name/nm11358361/,/name/nm1787372/,/name/nm11358364/,/name/nm6796477/,/name/nm11358360/,/name/nm5106780/,/name/nm0334880/,/name/nm3092642/,/name/nm11358363/,/name/nm6214351/,['Tim Mahoney'],['Tim Mahoney'],696191,696191,,,tt11661666
0,Riverdance 25th Anniversary Show,0,2020-03-15,,"['Abhann Productions', 'Pop Twist Entertainment']",0,0,0,['Musical'],/name/nm11409684/,/name/nm11409685/,/name/nm11409686/,/name/nm11409687/,/name/nm11409675/,/name/nm11409688/,/name/nm0143404/,/name/nm11409690/,/name/nm11409691/,/name/nm11409692/,['Chris Hunt'],[],79862,81879,919062.0,,tt11671040
0,Chal Mera Putt 2,0,2020-03-13,,"['Gillz Network', 'Fountain Films']",0,0,0,['Drama'],/name/nm3760302/,/name/nm8324884/,/name/nm2541232/,/name/nm6369182/,/name/nm2534665/,/name/nm7299325/,/name/nm9087642/,/name/nm3544533/,/name/nm7299324/,/name/nm11288302/,['Janjot Singh'],['Rakesh Dhawan'],445000,1070997,,,tt11737772
0,I Am Fear,0,2020-03-03,Not Rated,"['Roxwell Films', 'Roxwell Films']",0,0,0,"['Horror', 'Thriller', 'War']",/name/nm1640351/,/name/nm0846687/,/name/nm0267057/,/name/nm1840164/,/name/nm2274756/,/name/nm2151126/,/name/nm0001235/,/name/nm0608405/,/name/nm3111705/,/name/nm1693985/,['Kevin Shulman'],"['Kevin Shulman', 'Nathaniel Shulman']",13266,13266,,,tt1369571
0,Bad Boys for Life,0,2020-01-17,R,"['Columbia Pictures', 'Sony Pictures Releasing']",0,0,0,"['Action', 'Comedy', 'Crime', 'Thriller']",/name/nm0000226/,/name/nm0001454/,/name/nm1227814/,/name/nm1573253/,/name/nm6217576/,/name/nm1214769/,/name/nm0215487/,/name/nm7500905/,/name/nm0001592/,/name/nm0778501/,"['Adil El Arbi', 'Bilall Fallah']","['Peter Craig', 'Joe Carnahan', 'Chris Bremner', 'Peter Craig', 'Joe Carnahan', 'George Gallo']",90000000,62504105,204417855.0,419074646.0,tt1502397
0,Bloodshot,0,2020-03-13,PG-13,"['Columbia Pictures', 'Sony Pictures Releasing']",0,0,0,"['Action', 'Drama', 'Sci-Fi']",/name/nm0004874/,/name/nm2555462/,/name/nm1537825/,/name/nm1527905/,/name/nm1506908/,/name/nm2031358/,/name/nm0001602/,/name/nm1778512/,/name/nm1254025/,/name/nm8615352/,['Dave Wilson'],"['Jeff Wadlow', 'Eric Heisserer', 'Jeff Wadlow', 'Kevin VanHook', 'Bob Layton', 'Don Perlin']",45000000,9176695,10021787.0,28428855.0,tt1634106
0,Wendy,0,2020-04-17,PG-13,"['Fox Searchlight Pictures', 'Endeavor Content', 'Searchlight Pictures']",0,0,0,"['Drama', 'Fantasy']",/name/nm11293332/,/name/nm11318161/,/name/nm11293333/,/name/nm11293334/,/name/nm11293335/,/name/nm11293336/,/name/nm11293337/,/name/nm3017935/,/name/nm5096904/,/name/nm8940844/,['Benh Zeitlin'],"['Benh Zeitlin', 'Eliza Zeitlin']",5000000,26214,143518.0,143518.0,tt2420124
0,The Grudge,0,2020-01-03,R,"['Screen Gems', 'Endeavor Content', 'Screen Gems']",0,0,0,"['Horror', 'Mystery']",/name/nm0923105/,/name/nm1770380/,/name/nm0113357/,/name/nm8624879/,/name/nm2057859/,/name/nm7480625/,/name/nm0065007/,/name/nm0307534/,/name/nm1416919/,/name/nm11229582/,['Nicolas Pesce'],"['Nicolas Pesce', 'Nicolas Pesce', 'Jeff Buhler', 'Takashi Shimizu']",10000000,11404113,21221803.0,49511319.0,tt3612126
0,Sonic the Hedgehog,0,2020-02-14,PG,"['Paramount Pictures', 'ViacomCBS Global Distribution Group', 'Paramount Pictures']",0,0,0,"['Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']",/name/nm2355635/,/name/nm0005188/,/name/nm0000120/,/name/nm1754366/,/name/nm5625020/,/name/nm1269723/,/name/nm2837384/,/name/nm0568180/,/name/nm0125148/,/name/nm0003964/,['Jeff Fowler'],"['Pat Casey', 'Josh Miller', 'Yuji Naka', 'Naoto Ohshima', 'Hirokazu Yasuhara']",85000000,58018348,146066470.0,306766470.0,tt3794354
0,Downhill,0,2020-02-14,R,"['Filmhaus Films', 'Searchlight Pictures']",0,0,0,"['Comedy', 'Drama']",/name/nm0000506/,/name/nm0002071/,/name/nm0001584/,/name/nm3856316/,/name/nm2046855/,/name/nm5719974/,/name/nm1970465/,/name/nm6852155/,/name/nm1370153/,/name/nm1086150/,"['Nat Faxon', 'Jim Rash']","['Jesse Armstrong', 'Nat Faxon', 'Jim Rash', 'Ruben Östlund']",4622018,8287061,8899195.0,,tt4558376
0,Blood Widow,0,2020-01-21,R,"['Blood Widow Film', 'Indican Releasing']",0,0,0,"['Horror', 'Mystery', 'Thriller']",/name/nm0186609/,/name/nm3552548/,/name/nm8028038/,/name/nm5486116/,/name/nm0252745/,/name/nm1814281/,/name/nm8028039/,/name/nm8028041/,/name/nm8028040/,/name/nm3809150/,['Brendan Guy Murphy'],"['Dominic Ross', 'Brendan Guy Murphy']",6047,6047,,,tt5587198
0,Disturbing the Peace,0,2020-01-17,R,"['Grodnik /Aloe Productions', 'Voltage Pictures', 'Momentum Pictures']",0,0,0,"['Action', 'Adventure', 'Thriller', 'Western']",/name/nm0001602/,/name/nm0001701/,/name/nm4609675/,/name/nm0725079/,/name/nm2091325/,/name/nm0069076/,/name/nm0131564/,/name/nm0816185/,/name/nm3116364/,/name/nm0893081/,['York Alec Shackleton'],['Chuck Hustmyre'],5000000,49104,,,tt5717194
0,Underwater,0,2020-01-10,PG-13,"['20th Century Fox Film Corporation', 'Twentieth Century Fox']",0,0,0,"['Action', 'Horror', 'Sci-Fi', 'Thriller']",/name/nm0829576/,/name/nm0001993/,/name/nm6974206/,/name/nm2554352/,/name/nm0302330/,/name/nm3725055/,/name/nm2322406/,/name/nm2031749/,/name/nm1239895/,,['William Eubank'],"['Brian Duffield', 'Adam Cozad', 'Brian Duffield']",80000000,7008297,17291078.0,40882928.0,tt5774060
0,Tread,0,2020-02-28,,['Zipper Bros Films'],0,0,0,['Documentary'],/name/nm11404287/,/name/nm0281430/,/name/nm11392538/,,,,,,,,['Paul Solet'],['Paul Solet'],10585,36527,36527.0,,tt5807330
0,Trolls World Tour,0,2020-04-10,PG,"['DreamWorks Animation', 'Universal Pictures Home Entertainment (UPHE)', 'Universal Pictures']",0,0,0,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",/name/nm0447695/,/name/nm0005493/,/name/nm3417385/,/name/nm0179479/,/name/nm3236733/,/name/nm1225628/,/name/nm7256002/,/name/nm0005377/,/name/nm1093741/,/name/nm0004763/,"['Walt Dohrn', 'David P. Smith']","['Jonathan Aibel', 'Glenn Berger', 'Maya Forbes', 'Wallace Wolodarsky', 'Elizabeth Tippet', 'Jonathan Aibel', 'Glenn Berger', 'Thomas Dam']",90000000,1946164,,,tt6587640
0,Dolittle,0,2020-01-17,PG,"['Universal Pictures', 'Universal Pictures']",0,0,0,"['Adventure', 'Comedy', 'Family', 'Fantasy']",/name/nm0000375/,/name/nm0000104/,/name/nm0790688/,/name/nm0000980/,/name/nm2976580/,/name/nm6708646/,/name/nm0000668/,/name/nm1785339/,/name/nm1078479/,/name/nm3529685/,['Stephen Gaghan'],"['Stephen Gaghan', 'Dan Gregor', 'Doug Mand', 'Thomas Shepherd', 'Hugh Lofting']",175000000,21844045,77047065.0,223343452.0,tt6673612
0,Powerbomb,0,2020-04-07,Not Rated,"['1984 Productions', 'Indican Pictures']",0,0,0,['Thriller'],/name/nm3048151/,/name/nm1486106/,/name/nm8272586/,/name/nm6525359/,/name/nm4398223/,/name/nm2466737/,/name/nm3852267/,/name/nm8924343/,/name/nm8461060/,/name/nm3785060/,"['R. Zachary Shildwachter', 'B.J. Colangelo']","['Wes Allen', 'Wes Allen', 'B.J. Colangelo', 'R. Zachary Shildwachter']",11319,11319,,,tt6782632
0,Resistance,0,2020-03-27,R,"['Pantaleon Films', 'Creative Artists Agency (CAA)', 'IFC Films']",0,0,0,"['Biography', 'Drama', 'History', 'War']",/name/nm0251986/,/name/nm0993242/,/name/nm0777788/,/name/nm0594956/,/name/nm2200755/,/name/nm2764022/,/name/nm0000438/,/name/nm8165602/,/name/nm0411568/,/name/nm0548686/,['Jonathan Jakubowicz'],['Jonathan Jakubowicz'],7464,7464,,,tt6914122
0,Waiting for Anya,0,2020-02-07,,"['Goldfinch', '13 Films', 'Vertical Entertainment']",0,0,0,"['Drama', 'Thriller', 'War']",/name/nm0001378/,/name/nm0000606/,/name/nm0470981/,/name/nm6907855/,/name/nm0001244/,/name/nm0746583/,/name/nm1694302/,/name/nm1319365/,/name/nm5520750/,/name/nm3033378/,['Ben Cookson'],"['Ben Cookson', 'Michael Morpurgo', 'Toby Torlesse', 'Toby Torlesse']",10000000,36404,,,tt7095476
0,The Rhythm Section,0,2020-01-31,R,"['Paramount Pictures', 'AGC International', 'Paramount Pictures']",0,0,0,"['Action', 'Drama', 'Mystery', 'Thriller']",/name/nm0515116/,/name/nm0104114/,/name/nm11042323/,/name/nm10410322/,/name/nm0956126/,/name/nm3712892/,/name/nm4998602/,/name/nm1203005/,/name/nm0990547/,/name/nm3435025/,['Reed Morano'],"['Mark Burnell', 'Mark Burnell']",50000000,2715384,5437971.0,5989583.0,tt7134096
0,Onward,0,2020-03-06,PG,"['Walt Disney Pictures', 'Disney Global Content Sales and Distribution', 'Walt Disney Studios Motion Pictures']",0,0,0,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",/name/nm4043618/,/name/nm0695435/,/name/nm0000506/,/name/nm0818055/,/name/nm0735440/,/name/nm1531180/,/name/nm2913119/,/name/nm4399227/,/name/nm0217221/,/name/nm0001808/,['Dan Scanlon'],"['Dan Scanlon', 'Keith Bunin', 'Jason Headley', 'Dan Scanlon', 'Jason Headley', 'Keith Bunin']",39119861,61555145,103181419.0,,tt7146812
0,Mark of the Devil,0,2020-01-03,TV-14,"['Hakuhn', 'Netflix']",0,0,0,['Horror'],/name/nm0635330/,/name/nm3843442/,/name/nm2066000/,/name/nm8393672/,/name/nm0004816/,/name/nm0276451/,/name/nm6377308/,/name/nm1748372/,/name/nm10707947/,/name/nm1985075/,['Diego Cohen'],['Ruben Escalante Mendez'],900000,396624,,,tt7263040
0,Enter the Fat Dragon,0,2020-02-14,,"['Bona Film Group', 'Well Go USA Entertainment']",0,0,0,"['Action', 'Comedy']",/name/nm0947447/,/name/nm1111953/,/name/nm0594909/,/name/nm0939147/,/name/nm0417792/,/name/nm9407220/,/name/nm3518961/,/name/nm0847562/,/name/nm6425561/,/name/nm0913880/,['Kenji Tanigaki'],"['Kin-Hung Chan', 'Koon-Nam Lui', 'Jing Wong']",22193,46855,46855.0,,tt7335600
0,The Call of the Wild,0,2020-02-21,PG,"['20th Century Studios', 'Walt Disney Studios Motion Pictures']",0,0,0,"['Adventure', 'Drama', 'Family']",/name/nm0000148/,/name/nm1082477/,/name/nm4446254/,/name/nm1405398/,/name/nm0925966/,/name/nm0446465/,/name/nm0395398/,/name/nm2394794/,/name/nm6018521/,/name/nm4288087/,['Chris Sanders'],"['Michael Green', 'Jack London']",135000000,24791624,62342368.0,107604626.0,tt7504726
0,The Turning,0,2020-01-24,PG-13,"['DreamWorks', 'Universal Pictures']",0,0,0,"['Drama', 'Horror', 'Mystery']",/name/nm4496875/,/name/nm6016511/,/name/nm7737419/,/name/nm0551649/,/name/nm0000613/,/name/nm0298495/,/name/nm4125607/,/name/nm7632811/,/name/nm11297692/,,['Floria Sigismondi'],"['Carey W. Hayes', 'Chad Hayes', 'Henry James']",14000000,6950045,15472775.0,18474062.0,tt7510346
0,Like a Boss,0,2020-01-10,R,"['Artists First', 'Paramount Pictures']",0,0,0,['Comedy'],/name/nm1840504/,/name/nm0126284/,/name/nm0000161/,/name/nm11336557/,/name/nm3632976/,/name/nm0692039/,/name/nm4497202/,/name/nm1218621/,/name/nm0177639/,/name/nm1167794/,['Miguel Arteta'],"['Sam Pitman', 'Adam Cole-Kelly', 'Danielle Sanchez-Witzel', 'Adam Cole-Kelly', 'Sam Pitman']",29000000,10011272,22169514.0,29753143.0,tt7545266
