,title_code,title,runtime,release_date,rating,prod_co,metaScore,metaUserScore,imdb_rating,genre,actor1,actor2,actor3,actor4,actor5,actor6,actor7,actor8,actor9,actor10,directors,writers,budget,opening_wknd,gross_dom,gross_int
0,tt9286542,Taking Tiger Mountain Revisited,0,2019-03-09,,[],0,0,0,[],/name/nm0974137/,/name/nm4503619/,/name/nm0084624/,/name/nm3466520/,/name/nm0974637/,/name/nm3441160/,/name/nm3466423/,/name/nm3466490/,/name/nm3460388/,/name/nm0557287/,"['Tom Huckabee', 'Kent Smith']","['William S. Burroughs', 'Paul Cullum', 'Tom Huckabee', 'Thomas G. Schatz', 'Kent Smith']",,,,
0,tt9288776,White Snake,0,2019-10-20,,"['Light Chaser Animation Studios', 'All Rights Entertainment', 'GKIDS']",0,0,0,[],/name/nm4272259/,/name/nm3211555/,/name/nm0796732/,/name/nm3788571/,/name/nm1315809/,/name/nm0947459/,/name/nm2836674/,/name/nm0519642/,/name/nm0401235/,/name/nm1028658/,"['Amp Wong', 'Ji Zhao']",['Damao'],2791.0,34730.0,61631776.0,
0,tt9289026,Moms an Angel,0,2019-06-20,,[],0,0,0,[],,,,,,,,,,,['Wayne Roberts'],[],,,,
0,tt9290138,Why We Breathe,0,2019-11-09,,['A Walk in the Parks Productions'],0,0,0,[],/name/nm10343532/,/name/nm5542732/,/name/nm4424244/,/name/nm5039941/,/name/nm5678623/,/name/nm6002110/,/name/nm2654368/,/name/nm10373829/,/name/nm10373831/,/name/nm2516335/,['D. Erik Parks'],['D. Erik Parks'],,,,
0,tt9290186,Running for Freedom: My Journey as an Ultra Marathon Runner,0,2019-02-02,,[],0,0,0,[],/name/nm10263522/,/name/nm10263523/,/name/nm10263524/,/name/nm10263525/,/name/nm10263528/,/name/nm10263527/,/name/nm10263526/,/name/nm8003279/,/name/nm10272586/,/name/nm10272587/,['James Castillo'],[],,,,
0,tt9293562,DeSorrow,0,2019-07-14,,"['Cowlvus', 'Cowlvus']",0,0,0,[],/name/nm10526623/,/name/nm10526627/,/name/nm10526625/,/name/nm9725963/,/name/nm9042159/,/name/nm4160130/,/name/nm10526624/,/name/nm10526626/,,,['Ht Graine'],['Ht Graine'],5000.0,,,
0,tt9293742,Harem,0,2019-11-05,,[],0,0,0,[],/name/nm3111705/,/name/nm0006438/,,,,,,,,,['George Saunders'],['George Saunders'],,,,
0,tt9296808,Echo,0,2020-02-06,,"['Nimbus Film Productions', 'Jour2Fête', 'Jour2Fête']",0,0,0,[],/name/nm10657368/,/name/nm8612331/,/name/nm8712098/,/name/nm10657090/,/name/nm1868832/,/name/nm10657092/,/name/nm10690475/,/name/nm0036024/,/name/nm10692489/,/name/nm4974911/,['Rúnar Rúnarsson'],['Rúnar Rúnarsson'],16191.0,,,
0,tt9297172,The Ungulate,0,2019-12,,['Equinox Production Group'],0,0,0,[],/name/nm6669389/,/name/nm5908641/,/name/nm5908646/,/name/nm5913363/,/name/nm8770322/,/name/nm5913384/,/name/nm10267226/,/name/nm9986065/,/name/nm5913350/,/name/nm5913352/,"['Davy Lantz Jr.', 'Cori Coulter']","['Davy Lantz Jr.', 'Jeffery L. Miner']",,,,
0,tt9298196,Roll'em,0,2019-03-14,,"['Cinepoetics Pictures', 'MAD Solutions']",0,0,0,[],/name/nm8502254/,/name/nm7920660/,/name/nm10266986/,/name/nm10266987/,/name/nm9034284/,/name/nm9563038/,/name/nm7900894/,/name/nm10266989/,/name/nm8002071/,/name/nm8502251/,['Abdulelah Alqurashi'],"['Abdulelah Alqurashi', 'Yaser Hammad']",,,,
0,tt9298612,Exhibition on Screen: Young Picasso,0,2019-02-05,,['Seventh Art Productions'],0,0,0,[],,,,,,,,,,,['Phil Grabsky'],[],59324.0,,,
0,tt9298624,Secret Lover: A Rock n Roll Musical,0,2019-01-12,,[],0,0,0,[],/name/nm10267133/,/name/nm10267128/,/name/nm10267154/,/name/nm10267177/,/name/nm10267129/,/name/nm10267173/,/name/nm10267158/,/name/nm10267127/,/name/nm10267163/,/name/nm10267172/,['Hanna Hamilton'],['Hanna Hamilton'],,,,
0,tt9298716,Space Chase U.S.A.,0,2019-07-01,,"['Hemlock Films', 'WUCF-TV']",0,0,0,[],/name/nm10398171/,/name/nm0192474/,/name/nm5968904/,/name/nm5577600/,/name/nm1035964/,/name/nm10267710/,/name/nm10398172/,/name/nm10349038/,/name/nm1719498/,,['Adam N. White'],[],,,,
0,tt9298918,Exhibition on Screen: Van Gogh & Japan,0,2019-06-04,,"['Seventh Art Productions', 'A Contracorriente Films']",0,0,0,[],,,,,,,,,,,['David Bickerstaff'],[],282624.0,,,
0,tt9301886,Secrets of Blackmoor: The True History of Dungeons & Dragons,0,2019-05-08,,['Fellowship of the Thing'],0,0,0,[],/name/nm0036222/,/name/nm4575733/,/name/nm11162073/,/name/nm11162074/,/name/nm11162075/,/name/nm11162076/,/name/nm1850799/,/name/nm11162077/,/name/nm11162078/,/name/nm3824484/,"['Chris Graves', 'Griffith Mon Morgan III']",['Griffith Mon Morgan III'],,,,
0,tt9302026,Lost in Separation,0,2019-08-08,,"['Majestic Film', '20th Century Fox']",0,0,0,[],/name/nm0311476/,/name/nm0876300/,/name/nm4507468/,/name/nm0858479/,/name/nm0378102/,/name/nm8264364/,/name/nm1286167/,/name/nm0420889/,/name/nm4096798/,,['Rainer Kaufmann'],['Martin Rauhaus'],,,,
0,tt9302242,Halloween Do you believe in the boogeyman,0,2019-10-31,,['Miramax'],0,0,0,[],/name/nm10268229/,/name/nm10268223/,/name/nm10268230/,/name/nm10268224/,/name/nm10268227/,/name/nm10268226/,/name/nm10268225/,/name/nm10268228/,,,['John Harper'],"['John Harper', 'Tyler']",10.0,,,
0,tt9304360,Ayogya,0,2019-05-10,Not Rated,"['Light House Movie Makers', 'Aura London']",0,0,0,[],/name/nm1953187/,/name/nm1011887/,/name/nm0433893/,/name/nm5637317/,/name/nm6299092/,/name/nm1686962/,/name/nm2132667/,/name/nm6489058/,/name/nm1419300/,/name/nm1099597/,['Venkat Mohan'],"['Venkat Mohan', 'Vakkantham Vamsi']",42786.0,,,
0,tt9304470,Filmfarsi,0,2020-01-17,,[],0,0,0,[],/name/nm0051536/,/name/nm1028434/,/name/nm0267198/,/name/nm1145299/,/name/nm0994308/,/name/nm0329598/,/name/nm1159292/,/name/nm0539339/,/name/nm0705282/,/name/nm2546411/,['Ehsan Khoshbakht'],['Ehsan Khoshbakht'],,,,
0,tt9306654,Zoo Squad 2,0,2019-04-02,,['WOWNow Entertainment'],0,0,0,[],/name/nm9276537/,,,,,,,,,,['Kieron Smedley'],['Kieron Smedley'],,,,
0,tt9308256,Bully. Coward. Victim. The Story of Roy Cohn,0,2019-09-29,,"['HBO Documentary', 'Home Box Office (HBO)']",0,0,0,[],/name/nm0010844/,/name/nm0169946/,/name/nm1065785/,/name/nm0001447/,/name/nm1688272/,/name/nm0000691/,,,,,['Ivy Meeropol'],[],,,,
0,tt9309568,Krazy Meets Karma,0,2019-10-20,,['Poppy Pro Productions'],0,0,0,[],/name/nm1831995/,/name/nm2197711/,/name/nm11035036/,/name/nm11034913/,/name/nm11034914/,/name/nm11034925/,/name/nm11034927/,/name/nm11034928/,/name/nm11035039/,/name/nm11034834/,['Stacey Summers'],['Stacey Summers'],,,,
0,tt9310460,Coconut the Little Dragon 2: Into the Jungle,0,2019-01-24,,"['Caligari Film- und Fernsehproduktions', 'Constantin-Film']",0,0,0,[],/name/nm1090206/,/name/nm1110828/,/name/nm2001517/,,,,,,,,['Anthony Power'],"['Mark Slater', 'Gabriele Walther']",1892516.0,,,
0,tt9310604,That Click,0,2020-01-16,,"['Luca Severi Production Group', 'Kaleidoscope Film Distribution']",0,0,0,[],/name/nm2056225/,/name/nm0183497/,/name/nm1102577/,/name/nm0000412/,/name/nm1132362/,/name/nm0341323/,/name/nm0345174/,/name/nm0359372/,/name/nm0385296/,/name/nm0000173/,['Luca Severi'],[],245000.0,,,
0,tt9312100,A Model Kidnapping,0,2019-07-06,TV-14,"['Sunshine Films Florida', 'Lifetime Television']",0,0,0,[],/name/nm2259391/,/name/nm0109944/,/name/nm5046459/,/name/nm4217279/,/name/nm9082368/,/name/nm2946515/,/name/nm4433613/,/name/nm5687599/,,,['Damián Romay'],['Andrea Canning'],,,,
0,tt9313780,Idol Madness,0,2019-12-31,,[],0,0,0,[],/name/nm10272021/,/name/nm1476388/,/name/nm10798105/,/name/nm10272988/,/name/nm10272584/,/name/nm9482841/,/name/nm10235692/,/name/nm10273210/,/name/nm10315956/,/name/nm10273167/,['Kevin Wester'],['Kevin Wester'],25000.0,,,
0,tt9313936,Stay Alive,0,2019-03-01,,['A1Tunz'],0,0,0,[],/name/nm2850103/,/name/nm4228536/,/name/nm10272761/,,,,,,,,['Paul Emami'],"['Rayko Dig', 'Mark Goulston', 'Kevin Hines', 'Frank S Kilpatrick']",150000.0,,,
0,tt9314934,Jacob,0,2019-04-24,,[],0,0,0,[],,,,,,,,,,,['Jon Stahl'],[],,,,
0,tt9315438,Yajamana,0,2019-03-08,Not Rated,"['Media House Studio', 'Weekend Cinema']",0,0,0,[],/name/nm3131753/,/name/nm8612305/,/name/nm5744564/,/name/nm3909445/,/name/nm9574516/,/name/nm10602996/,/name/nm10602999/,/name/nm10603039/,/name/nm10602997/,/name/nm10603010/,"['V. Harikrishna', 'Pon Kumaran']","['Chetan', 'V. Harikrishna']",,,,
